GeneID	Em10	Em12	Em14	Em16	Em18	Em20	Em22	Em24	Em26	Em28	Em30	Em32	Em34	Em36	Em38	En6	En8	En10	En12	En14	En16	En18	En20	En22	En24	En26	En28	En30	En32	En34	En36	En38	S0	S2	S3	S4	S6	S8	S10	S12	S14	S16	S18	S20	S22	S24	S26	S28	S30	S32	S34	S36	S38	Shoots	Roots	Leaf_1	Leaf_2	Leaf_3	Leaf_4	Leaf_5	Leaf_6	Leaf_7	SAM_1	SAM_2	SAM_3	Ear_1	Ear_2	Tassel_1	Tassel_2	Tassel_3	Tassel_4	Tassel_5	Cob_1	Cob_2	Silk	Anthers	Ovule	Pollen
GRMZM2G096680	2.5	8.21	5.26	32.05	84.3	242.46	350.74	373.61	814.58	707.21	129.89	55.29	204.95	69.61	119.39	0	0	0	0.09	0	1.35	0.83	0.31	16.02	1.8	0	16.26	5.12	0.19	0	0.15	1	0	0	0	0.18	0	0	0	0.2	0.53	1.52	5.29	26	39.04	42.57	64.92	54.52	142.24	45.21	117.92	23.8	50.07	2.39	163.87	0.08	0.19	0	0	0.08	0.11	0.12	0	0	0.13	0	0	0	0	0	0	0.08	0	0	0	0	0	0
GRMZM2G099340	21.85	49.38	16.9	92.43	187.98	188.37	515.76	332.31	608.02	923.27	569.85	611.68	570.53	282.23	408.62	45.82	18.71	28.43	22.03	12.42	9.13	17.12	7.53	22.65	24.35	41.43	63.13	48.73	71.41	107.65	34.18	38.51	13.33	22.53	24.98	19.92	24.99	25.19	80.7	123.8	93.65	97.02	79.3	98.94	105.13	105.89	192.28	192.4	310.44	93.91	155.79	160.33	74.27	10.72	6.55	20.79	2.13	0.96	3.67	0.33	5.14	5.03	3.25	1.61	1.05	0.87	0.56	1.34	1.73	0.83	3.74	3.63	1.47	1.72	0.59	0.46	6.19	0.04
GRMZM2G112238	272.96	1600.29	1422.81	2462.55	1654.38	2507.24	2375.01	1632.74	2868.24	3185.54	2187.32	1919.1	2153.57	1689.01	1913.32	0	0	3.57	4.28	7.21	21.71	44.91	18.36	74.08	87.57	101.08	288.61	208.15	352.83	402.51	231.79	359.27	0.25	2.04	0.93	1.87	0.54	0.03	10.02	34.55	92.63	158.46	237.59	358.49	356.2	364.03	468.25	732.64	1361.48	541.34	1208.64	675.69	668.23	0	0.02	0	0	0	0	0	0	0	0.96	0.85	0	0.95	0.34	0	0	0.03	0	0	0	0.09	0.13	0	0.16	0
GRMZM2G122357	5.92	8.46	5.47	46.88	295.03	103.64	1108.15	1278.21	3123.05	2707.58	398.45	288.02	994.9	496.83	1129.27	0.34	0.3	1.11	0.37	0.73	2.15	7.49	3.04	19.61	21.82	56.85	295.38	106.15	400.73	274.47	1525.39	1372.6	0.95	0.88	1.17	1.41	1.28	0.9	0.57	0.84	2.85	6.74	15.09	83.06	41.55	161.96	242.29	136.96	1417.33	235.13	401.68	116.07	699.45	3.35	1.58	2.15	1.29	5.07	13.54	1.57	0.19	0.46	0.33	0.16	5.04	0.15	0.33	0.34	0.26	0	5.6	4.35	1.47	1.3	7.19	0.53	3.17	0.06
GRMZM2G123322	3.67	3.33	3.54	3.91	6.32	6.62	5.63	4.5	4.17	7.74	5.55	5.12	5.43	6.55	4.67	4.9	3.62	2.7	1.21	1.35	1.45	1.26	1.51	1.15	1.28	0	0.07	0.35	0.32	1.81	0.75	3.84	11.42	4.5	3.8	4.87	4.28	3.88	3.81	2.39	1.83	2.66	1.43	1.85	4.02	1.05	2.55	0.98	2.5	4.86	3.27	3.06	2.88	0	0	0	0	0	0	0	0	0	0	0	1.43	0	0	0	0.17	0	0	0	0	0	0	0	0	0
GRMZM2G133275	9.21	15.65	4.72	49.88	134.89	66.61	317.27	244.52	626.64	666.45	53.97	52.45	231.02	162.16	304.9	0	0	0.19	0.33	0.32	0.47	3.8	2.42	8.75	4.97	15.41	39.9	15.33	60.45	92.41	164.49	209.24	0	0.39	0.3	0.07	0.08	0.11	0.38	2.57	3.17	7.89	10.86	36.8	23.33	33.36	48.31	24.78	467.91	47.8	226.01	30.64	380.14	0	0	0	0.07	0	0	0	0	0	0.18	0	0	0.05	0	0	0	0	0.05	0.11	0.12	0	0.73	0.63	0	0
GRMZM2G136663	16.02	22.9	22.66	26.67	35.32	26.03	43.03	55.27	39.49	66.14	21.55	29.18	39.39	25.52	42.23	1.54	0	0.39	0.12	0.05	0.45	0.1	0.15	0.81	0.48	0.75	4.58	1.84	6.41	8.09	23.06	18.86	0	0.15	0	0	0	0.05	1.24	0.85	1.01	1.86	2.78	5.02	4.64	5.5	6.09	11.72	58.11	30.78	22.93	9.39	40.8	0.08	0.12	0	0	0	0	0.04	0	0	0.03	0.1	0	0.07	0.03	0	0	0	0.03	0	0.11	0.34	0.07	1.4	0.11	1.7
GRMZM2G139797	287.52	670.09	500	679.69	461.53	691.73	913.71	844.23	1826.73	1061.74	677.76	595.71	1017.77	919.88	999.5	57.92	9.59	10.03	8.38	7.15	9.93	24.63	10.69	40.71	38.02	53.62	141.74	97.86	292.49	387.67	446.28	1007.43	0	1.39	0.23	1.07	2.62	6.06	25.06	41.97	56.19	63.55	89.04	171.1	129.59	194.28	186.89	285.67	1002.72	467.99	1048.38	423.6	822.45	0.02	0.04	0	0.18	0.18	0.63	0.04	0	0	0.63	0.37	0	0.39	0.17	0	0	0	0	0	0	0	0.75	0	0	0
GRMZM2G157982	0.1	0	0	0.09	0.56	0.51	4.32	5.84	10.82	7.56	0.67	0.47	0.71	3.54	4.73	0	0.16	0	0	0	0	0	0	0	0	0	0.51	0.08	0	0	0.14	0	0	0	0	0	0	0.08	0	0	0.04	0.13	0.14	0	0.55	0.86	0.07	0.6	2.23	0.93	0.27	0.76	3.78	0	0	0	0.17	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0.07	0	0.09	0.89	0
GRMZM2G162659	11.8	21.5	11.98	64.22	205.17	227.69	723.35	496.85	1018.76	1166.11	516.97	523.5	809.51	559.56	827.39	0.15	0	0.3	0.24	0.14	3.05	1.33	1.31	17.65	4.97	4.04	62.26	28.53	97.86	145.24	166.34	211.31	0.09	0.22	0	0.26	0	0.08	0.05	0.37	0.84	3.66	14.81	47.63	44.41	78.87	103.12	167.42	1126	595.57	715.11	274.8	553.91	0.03	1.33	0	0	0	0	0	0	0	0.05	0.06	0	0.11	0.1	0.15	0.1	0	0.53	0.13	0	0	2.83	0	0.12	0
GRMZM2G166776	0.59	0.19	0.22	2.12	3.24	1.47	35.71	69.72	300.72	104.36	18.68	9.88	62.41	95.03	127.06	0.21	0	0.03	0.16	0.1	0	0.24	0.09	0.38	0.44	5.66	32.22	15.12	24.5	27.81	189.1	133.57	0	0	0.14	0	0	0	0.33	0.73	0.59	0	0.14	1.75	1.43	7.45	8.53	9.2	172.77	15.25	40.69	36.16	153.5	0.03	1.18	0	0.16	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0.06	0.13	0.6	0	0.96	0	0.04	0.04
GRMZM2G177792	0.25	0.12	0	0.76	1.43	0.41	14.95	46.76	149	149.76	54.5	45.29	101.65	23.37	61.29	0.07	0	0.22	2.17	2.82	4.22	13.91	5.27	11.94	12.2	16.71	16.1	28.8	26.11	24.42	25.66	37.05	0	0.14	0.17	0.29	0	0.08	0.78	6.82	18.98	18.51	19.99	35.93	29.94	34.59	40.17	35.27	61.98	18.53	41.01	16.36	25.24	0.13	5.98	0.26	1.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69	0.65	0	0	0	0	0.05	0
GRMZM2G325118	78.01	256.98	197.93	1601.67	3124.08	3861.39	13506.95	10414.16	25534.25	15259.76	3812.51	2590.23	5471.8	2063	2136.38	0.04	0.07	7.16	9.9	23.59	50.25	224.32	126.02	529.31	474.6	985.86	1107.76	1234.31	1879.93	2640.69	2005.67	2787.66	0.47	8.66	4.11	4.06	0.13	0.1	5.08	29.54	162.26	174.84	504.89	1675.59	1827.53	2102.9	2575.92	1711.18	5829.03	562.4	3725.15	1200.19	1655.9	0	0.01	0	0	0	0	0	0	0	0.89	0.74	0	1.12	0.6	0	0	0	0.08	0	0.11	0.06	2.16	0	0	0
GRMZM2G359559	0	0.09	0	0.08	0.36	0.18	1.56	0.46	0.18	3.15	0.79	0.64	1.12	0.38	1.04	0	0	0	0	0	0	0	0	0.04	0	0	0	0.07	0	0	0	0	0	0	0	0.07	0.04	0	0	0	0	0	0	0.11	0.46	0.07	0.33	0.29	0.14	0.23	0.34	0.13	0.1	0.06	0.02	0	0.18	0.12	0.11	0.12	0.02	0	0	0	0	0	0.07	0	0	0	0	0	0.03	0	0	0	0	0
GRMZM2G377113	3.4	9.59	9.94	15.34	14.02	23.14	17.81	16.11	17.6	27.27	11.22	13.34	10.7	6.9	12.95	0.54	0.13	0.19	0	0	0.14	0.25	0.08	0.49	0.19	0.41	0.57	0.49	0.21	0.5	0.11	0.08	0	0	0	0	0	0.21	0.56	0.22	0.21	0.37	1.28	2.36	3.92	2.33	3.26	3.32	2.92	3.52	4.81	3.35	4.14	0	0	0	0	0	0	0	0	0	0.04	0	0.39	0	0	0	0	0	0.05	0.11	0	0	0	0	0	0
GRMZM2G416913	0	0.08	0	0.04	0.11	0.61	2.23	4.37	7.15	5.28	3.52	2.55	2.86	2.86	3.26	0	0	0	0.02	0	0.04	0.01	0	0.19	0.17	0.66	0.07	0.34	0.44	2	3.44	2.06	0	0.02	0.08	0	0	0	0	0.03	0.02	0.09	0.06	0.33	0.31	0.82	1.4	1.34	2.77	1.62	2.52	2.98	1.84	0	0	0	0	0	0	0	0	0	0.04	0.02	0.04	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0
GRMZM2G442555	4.69	13.35	16.96	35.23	61.37	52.22	124.56	69.62	143.96	172.52	63.88	49.99	67.95	137.68	86.67	0.08	0.12	0.05	0.04	0	0.53	0.24	0.21	3.17	0.94	1.14	3.68	2.69	8.67	10.52	66.84	55.16	0.4	0.32	0.38	0.13	0.04	0	0	0.07	0.3	2.1	4.18	10.75	5.3	9.34	4.75	18.78	91.06	95.85	48.12	37.06	92	0	0.05	0	0	0	0	0	0	0	0.12	0.14	0.09	0.28	0.4	0.04	0.08	0.08	0	0.05	1.68	0.21	0.1	0	0.84	0
GRMZM2G700386	3.31	3.64	5.68	2.94	3.87	5.85	4.86	6.15	7.47	6.75	4.6	3.21	2.66	3.73	4.16	0.05	0	0	0.04	0	0.03	0	0.04	0	0.03	0	0.11	0.07	0	0	0	0	0.19	0	0	0	0	0	0	0.12	0.07	0.23	0.17	0.52	0.96	0.82	0.94	0.73	1.59	1.37	1.53	1.72	1.87	0.06	0.31	0	0	0	0	0	0	0	0	0.03	0.05	0	0	0.26	0.16	0.07	0.06	0	0.03	0.03	0	0	0.11	0
GRMZM2G700730	0	0	0	0	0	0	0	0	0	2.84	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0.19	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM5G801531	0.1	0.1	0.12	0	0	0	1.05	1.5	2.29	2.46	0.55	0.27	0.79	0.48	0.92	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.05	0.22	0	0	0	0	0	0	0	0	0	0	0.25	0.08	0.3	0.58	0.39	0.07	0.06	0.64	0	1.18	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.21	0	0.07	0	0	0	0
